step,epoch,loss,grad_norm,learning_rate
395,1.215,0.0005,0.03840220719575882,1.872863247863248e-05
396,1.218,0.143,1.3242522478103638,1.87232905982906e-05
397,1.222,0.1834,2.0486762523651123,1.8717948717948718e-05
398,1.225,0.0015,0.11672783643007278,1.871260683760684e-05
399,1.228,0.3721,2.835615396499634,1.870726495726496e-05
400,1.231,0.1333,1.4851067066192627,1.8701923076923078e-05
401,1.234,0.0085,0.6315958499908447,1.86965811965812e-05
402,1.237,0.2555,4.646435737609863,1.869123931623932e-05
403,1.24,0.2204,2.960383892059326,1.8685897435897438e-05
404,1.243,0.021,1.5356513261795044,1.8680555555555556e-05
405,1.246,0.0136,1.001190185546875,1.867521367521368e-05
406,1.249,0.3054,2.952749490737915,1.8669871794871797e-05
407,1.252,0.3125,2.9498183727264404,1.8664529914529916e-05
408,1.255,0.0042,0.30977967381477356,1.8659188034188035e-05
409,1.258,0.0025,0.1903810054063797,1.8653846153846157e-05
410,1.262,0.6734,6.539973258972168,1.8648504273504276e-05
411,1.265,0.1368,1.8931832313537598,1.8643162393162395e-05
412,1.268,0.2159,2.5136303901672363,1.8637820512820514e-05
413,1.271,0.2461,2.518510103225708,1.8632478632478636e-05
414,1.274,0.2264,1.9361732006072998,1.8627136752136755e-05
415,1.277,0.3148,3.5728983879089355,1.8621794871794873e-05
416,1.28,0.0022,0.166284441947937,1.8616452991452992e-05
417,1.283,0.0862,0.9730352163314819,1.8611111111111114e-05
418,1.286,0.0038,0.27902913093566895,1.8605769230769233e-05
419,1.289,0.2984,6.457884788513184,1.8600427350427352e-05
420,1.292,0.0044,0.3254393935203552,1.859508547008547e-05
421,1.295,0.0047,0.34490975737571716,1.8589743589743593e-05
422,1.298,0.1795,2.917872905731201,1.8584401709401712e-05
423,1.302,0.0036,0.26371514797210693,1.857905982905983e-05
424,1.305,0.0028,0.20341749489307404,1.857371794871795e-05
425,1.308,0.0022,0.1592232882976532,1.856837606837607e-05
426,1.311,0.0015,0.10812873393297195,1.856303418803419e-05
427,1.314,0.2456,2.432447671890259,1.855769230769231e-05
428,1.317,0.1453,2.2547404766082764,1.8552350427350428e-05
429,1.32,0.272,4.556262969970703,1.854700854700855e-05
430,1.323,0.1599,1.7600735425949097,1.854166666666667e-05
431,1.326,0.1307,1.7359013557434082,1.8536324786324788e-05
432,1.329,0.1469,2.025298833847046,1.8530982905982907e-05
433,1.332,0.0025,0.18754468858242035,1.852564102564103e-05
434,1.335,0.0037,0.277700275182724,1.8520299145299148e-05
435,1.338,0.2927,5.638564109802246,1.8514957264957266e-05
436,1.342,0.0044,0.32870686054229736,1.850961538461539e-05
437,1.345,0.0043,0.31997954845428467,1.8504273504273507e-05
438,1.348,0.3047,3.21437668800354,1.8498931623931626e-05
439,1.351,0.1324,1.4291465282440186,1.8493589743589745e-05
440,1.354,0.2757,2.4017508029937744,1.8488247863247867e-05
441,1.357,0.0044,0.33051589131355286,1.8482905982905986e-05
442,1.36,0.1652,2.141735076904297,1.8477564102564105e-05
443,1.363,0.1827,3.283626079559326,1.8472222222222224e-05
444,1.366,0.124,3.5418612957000732,1.8466880341880346e-05
445,1.369,0.1037,1.851747989654541,1.8461538461538465e-05
446,1.372,0.0088,0.6466343998908997,1.8456196581196583e-05
